Name,Mass [kg],Radius [km],Density [g/cm3],Position X [km],Y,Z,Velocity X [km/s],Y,Z,Distance to center [RG],2459577.500000000 = A.D. 2021-Dec-29 00:00:00.0000 TDB 
Sun,1.98850000000000E+30,6.95700000000000E+05,1.40800000000000E+00,-1.28216124885660E+06,5.04498236752466E+05,2.58286601146581E+04,-5.86813881901738E-03,-1.46066775981397E-02,2.52633815436521E-04,1.37808673843092E+06,
Mercury,3.30200000000000E+23,2.44000000000000E+03,5.42700000000000E+00,5.20175511271351E+07,-1.84287754923944E+07,-6.41039533128993E+06,6.81959655693286E+00,4.80817404057891E+01,3.30451124376864E+00,5.55566248049377E+07,
Venus,4.86850000000000E+24,6.05184000000000E+03,5.20400000000000E+00,-2.34134707347822E+06,1.08143711155598E+08,1.56429616889670E+06,-3.51443614671904E+01,-5.45227850642146E-01,2.02062407303701E+00,1.08180364166183E+08,
Earth,5.97219000000000E+24,6.37101000000000E+03,5.51000000000000E+00,-1.96502754341826E+07,1.46469039200647E+08,1.86242124342471E+04,-3.00529037760869E+01,-3.83694865461067E+00,1.58921851534610E-03,1.47781301644901E+08,
Mars,6.41710000000000E+23,3.38992000000000E+03,3.93300000000000E+00,-1.36322797970347E+08,-1.86235598443514E+08,-5.75294987989589E+05,2.05364851236395E+01,-1.21362305816226E+01,-7.57690395472858E-01,2.30798471265303E+08,
Jupiter,1.89818722000000E+27,6.99110000000000E+04,1.32620000000000E+00,6.94371350393571E+08,-2.71278513310687E+08,-1.44093505452865E+07,4.59879687387929E+00,1.27849455715190E+01,-1.55813222605687E-01,7.45621374032817E+08,
Saturn,5.68340000000000E+26,5.82320000000000E+04,6.87000000000000E-01,1.03828309354496E+09,-1.05839966608154E+09,-2.29350375856530E+07,6.35590226785258E+00,6.74367499703639E+00,-3.70013279803539E-01,1.48282421461611E+09,
Uranus,8.68130000000000E+25,2.53620000000000E+04,1.27100000000000E+00,2.15378987931963E+09,2.01568204002992E+09,-2.04164268176477E+07,-4.70328451996793E+00,4.65495555232502E+00,7.84482390226886E-02,2.94994945062502E+09,
Neptune,1.02409000000000E+26,2.46240000000000E+04,1.63800000000000E+00,4.43160671078250E+09,-6.12852535493580E+08,-8.95103659178307E+07,7.08845373653006E-01,5.41576872703952E+00,-1.28570303953487E-01,4.47467746043445E+09,
Pluto,1.30700000000000E+22,1.18830000000000E+03,1.86000000000000E+00,2.26034366656294E+09,-4.62463777798588E+09,-1.58962690245237E+08,5.00587432197391E+00,1.21627593006662E+00,-1.55808458538405E+00,5.14992205819034E+09,
Moon,7.34900000000000E+22,1.73753000000000E+03,3.34370000000000E+00,-1.99665294563625E+07,1.46276871525922E+08,3.52919196811020E+04,-2.94572110493114E+01,-4.70725607576835E+00,-8.43821597720262E-02,1.47633284483759E+08,Earth
